State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15,Action_Check,Action_Call,Action_Fold,Action_Raise Small,Action_Bet Big,Action_Bet Small
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1084.65464599864,1138.630336607058,837.8106955578559,753.1775536497923,862.433827602588,915.7943163016125
1,0,0,0,1,0,0,2,1,2,1,0,0,0,0,2,19.00941002414789,49.90902738744695,-50.3628051412365,-5.241717195762394,-18.23135825253581,-16.84150662800795
1,0,0,0,2,0,0,2,1,2,1,0,0,0,1,2,3.712467595183875,3.7443741831902098,-11.527777381249999,-0.97166577559375,-9.155808604275656,-4.3007487499999995
1,0,0,0,3,0,1,2,1,2,1,1,0,0,2,2,-2.08,0.33,-1.32,1.0120000000000002,0.0,-1.391
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2346.499275069122,2464.166364734254,2059.5617374831295,1854.6255363181242,2303.441337066266,2289.322753714181
2,0,0,1,1,0,0,2,1,0,0,0,0,0,1,2,146.83634345661525,256.1999454822701,-36.32889489575491,20.920824538974117,-11.895794261353872,74.67357973296335
2,0,0,1,2,1,0,2,2,2,1,0,0,0,2,2,1.3189000000000002,11.8228955,-1.2000000000000002,0.0,0.0,3.259084
2,0,0,1,3,1,0,2,2,2,1,0,0,0,2,2,15.569733050000004,7.946004499999999,-4.226000000000001,0.40474655000000026,3.9286,0.0
2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,2259.9182496285666,2455.9368324957604,1574.1710441362825,2122.26474931541,1855.7438130316768,1876.2600146916195
2,0,1,1,1,0,0,2,2,3,2,0,0,0,0,4,3.206251175312499,19.83214691875,-3.7885367687500002,2.62794125,-2.98575,1.5
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,2896.835688729072,3038.3267899309267,2671.5085244605325,2778.290128736347,2724.1804119652647,2780.7909635966275
1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,4,0.25,8.00447625,0.0,-1.49525,-1.40454875,0.0
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,3660.0097544789355,3820.734015534048,3404.2752904160643,3738.477447406741,3735.00159434843,3733.9249908660363
2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,4,1829.8704369656816,2050.3890576374465,1018.745172427499,1616.8720939587631,1119.9017057043534,1430.2034179907441
2,0,0,1,2,0,1,2,1,0,0,0,0,0,0,4,16.32757287471238,76.98302418392888,-8.69458788935404,10.738297904842486,9.715447084606875,11.33958735283573
1,0,0,0,1,1,0,2,1,1,1,0,0,0,0,4,107.54449345383605,273.63763812137734,-19.937048185432527,10.191014563607759,-9.058852545399343,9.612530939552414
1,0,0,0,2,1,0,2,1,1,1,0,0,0,0,4,121.46908661972228,284.18696074203086,-18.85913515315655,18.034063301861735,-6.034905213359677,6.578362733990469
1,0,0,0,3,1,0,2,1,2,2,1,0,1,0,4,1.0,1.0,0.0,0.0,0.0,0.0
2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,1272.280154398885,1520.4069693148144,526.2880081866035,1046.5858049776216,584.846547299336,841.171585471247
2,0,0,1,3,1,1,2,2,2,1,0,0,0,0,4,0.0,3.132025,-1.0,0.5,0.5,0.5
1,0,0,0,1,0,0,2,1,2,1,1,0,0,0,4,0.8892500000000001,10.05288136875,-2.0,-1.74536988125,-1.49052375,-0.99525
1,0,0,0,2,0,0,2,2,2,1,1,0,0,0,4,0.54425125,16.722126125000003,-1.0,-3.834225,-2.54977375,-0.405
2,0,0,1,1,0,0,2,1,0,0,1,0,0,0,4,72.4330165728048,195.64648995589755,-14.038824892059889,41.43084064264426,-12.961727806285218,29.717451884807424
2,0,0,1,2,1,0,2,1,1,1,1,0,0,0,4,3.1943486128125,27.06195566875,-2.6169551371875004,4.6945125,2.9927899375,3.6755125
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,2768.2591828725053,2911.696327880995,2476.3053017492116,2614.4177239180635,2532.2666910122443,2581.9959253414345
1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,0.7345250000000002,13.019526250000002,-3.99525,-1.575225,0.0,-2.85025
1,0,0,1,2,0,0,1,0,1,1,0,0,0,0,4,12.0164109451805,80.60319078288168,-12.767677297353282,-8.488749410146905,-5.624693772506252,-2.4065278346156185
2,0,0,1,1,1,0,1,0,2,1,0,0,0,0,4,118.93421580345537,264.234515174717,-10.902569274386797,72.19391477273709,60.10596738304716,38.430062896102555
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,3709.6346128311875,3872.899632420038,3450.4283980943296,3784.5995928312564,3778.3100409305266,3779.3702864403635
