Hole cards,Wins,Losses,Splits,Win prob,Loss prob,Split prob
[2♥] [J♠],41888,53434,4678,0.4244090909090909,0.5293545454545454,0.04623636363636364
[2♥] [Q♣],44733,50908,4359,0.45027272727272727,0.5063909090909091,0.04333636363636364
[2♥] [Q♦],45156,50503,4341,0.4541181818181818,0.5027090909090909,0.04317272727272727
[2♥] [Q♥],48094,47806,4100,0.4808272727272727,0.4781909090909091,0.04098181818181818
[2♥] [Q♠],45126,50470,4404,0.45384545454545455,0.5024090909090909,0.043745454545454546
[2♥] [K♣],48364,47464,4172,0.4832818181818182,0.47508181818181816,0.04163636363636364
[2♥] [K♦],48209,47636,4155,0.4818727272727273,0.47664545454545454,0.04148181818181818
[2♥] [K♥],51177,44950,3873,0.5088545454545454,0.4522272727272727,0.03891818181818182
[2♥] [K♠],48320,47528,4152,0.4828818181818182,0.47566363636363634,0.04145454545454545
[2♥] [A♣],53028,43094,3878,0.5256818181818181,0.43535454545454544,0.03896363636363637
[2♥] [A♦],53028,43094,3878,0.5256818181818181,0.43535454545454544,0.03896363636363637
[2♥] [A♥],55530,40833,3637,0.5484272727272728,0.4148,0.03677272727272727
[2♥] [A♠],53165,42928,3907,0.5269272727272727,0.43384545454545453,0.03922727272727273
[2♠] [3♣],29173,64795,6032,0.3088181818181818,0.6326363636363637,0.058545454545454546
[2♠] [3♦],29320,64571,6109,0.31015454545454546,0.6306,0.059245454545454546
[2♠] [3♥],29194,64586,6220,0.3090090909090909,0.6307363636363637,0.060254545454545456
[2♠] [3♠],33286,61055,5659,0.3462090909090909,0.5986363636363636,0.055154545454545456
[2♠] [4♣],29936,63844,6220,0.31575454545454545,0.623990909090909,0.060254545454545456
[2♠] [4♦],30024,63951,6025,0.3165545454545455,0.6249636363636364,0.05848181818181818
[2♠] [4♥],30172,63704,6124,0.3179,0.6227181818181818,0.05938181818181818
[2♠] [4♠],33580,60530,5890,0.3488818181818182,0.5938636363636364,0.057254545454545454
[2♠] [5♣],31143,62655,6202,0.3267272727272727,0.6131818181818182,0.06009090909090909
[2♠] [5♦],31073,62741,6186,0.3260909090909091,0.6139636363636364,0.059945454545454545
[2♠] [5♥],31398,62432,6170,0.32904545454545453,0.6111545454545455,0.0598
[2♠] [5♠],34918,59209,5873,0.36104545454545456,0.5818545454545454,0.0571
[2♠] [6♣],30928,63181,5891,0.32477272727272727,0.6179636363636364,0.057263636363636364
[2♠] [6♦],31142,62924,5934,0.3267181818181818,0.6156272727272727,0.05765454545454545
[2♠] [6♥],31232,62765,6003,0.3275363636363636,0.6141818181818182,0.058281818181818185
[2♠] [6♠],34799,59405,5796,0.3599636363636364,0.5836363636363636,0.0564
[2♠] [7♣],31622,62589,5789,0.3310818181818182,0.6125818181818182,0.056336363636363636
[2♠] [7♦],31636,62521,5843,0.3312090909090909,0.6119636363636364,0.056827272727272726
[2♠] [7♥],31625,62767,5608,0.3311090909090909,0.6142,0.05469090909090909
[2♠] [7♠],35684,58844,5472,0.3680090909090909,0.5785363636363636,0.053454545454545456
[2♠] [8♣],34088,60389,5523,0.3535,0.5925818181818182,0.053918181818181816
[2♠] [8♦],34271,60256,5473,0.35516363636363635,0.5913727272727273,0.053463636363636366
[2♠] [8♥],34110,60530,5360,0.3537,0.5938636363636364,0.052436363636363635
[2♠] [8♠],37622,57155,5223,0.3856272727272727,0.5631818181818182,0.05119090909090909
[2♠] [9♣],36451,58255,5294,0.3749818181818182,0.5731818181818182,0.05183636363636364
[2♠] [9♦],36663,58177,5160,0.3769090909090909,0.5724727272727272,0.05061818181818182
[2♠] [9♥],36395,58341,5264,0.3744727272727273,0.5739636363636363,0.05156363636363637
[2♠] [9♠],40157,55072,4771,0.4086727272727273,0.5442454545454546,0.04708181818181818
[2♠] [T♣],39187,55984,4829,0.39985454545454546,0.5525363636363636,0.047609090909090906
[2♠] [T♦],39116,56006,4878,0.3992090909090909,0.5527363636363636,0.048054545454545454
[2♠] [T♥],39246,55942,4812,0.4003909090909091,0.5521545454545455,0.04745454545454546
[2♠] [T♠],42572,52839,4589,0.43062727272727275,0.5239454545454545,0.045427272727272726
[2♠] [J♣],42381,53076,4543,0.4288909090909091,0.5261,0.04500909090909091
[2♠] [J♦],41923,53438,4639,0.42472727272727273,0.5293909090909091,0.04588181818181818
[2♠] [J♥],41895,53369,4736,0.4244727272727273,0.5287636363636363,0.04676363636363636
[2♠] [J♠],44909,50620,4471,0.45187272727272726,0.5037727272727273,0.04435454545454545
[2♠] [Q♣],45010,50572,4418,0.4527909090909091,0.5033363636363636,0.04387272727272727
[2♠] [Q♦],44829,50855,4316,0.45114545454545457,0.5059090909090909,0.042945454545454544
[2♠] [Q♥],45119,50505,4376,0.4537818181818182,0.5027272727272727,0.043490909090909094
[2♠] [Q♠],48061,47775,4164,0.48052727272727275,0.4779090909090909,0.041563636363636365
[2♠] [K♣],48395,47542,4063,0.48356363636363636,0.4757909090909091,0.04064545454545455
[2♠] [K♦],48307,47579,4114,0.48276363636363634,0.47612727272727273,0.04110909090909091
[2♠] [K♥],48523,47322,4155,0.48472727272727273,0.4737909090909091,0.04148181818181818
[2♠] [K♠],51188,44802,4010,0.5089545454545454,0.45088181818181816,0.04016363636363637
[2♠] [A♣],52816,43296,3888,0.5237545454545455,0.4371909090909091,0.03905454545454545
[2♠] [A♦],52946,43117,3937,0.5249363636363636,0.4355636363636364,0.0395
[2♠] [A♥],52953,43053,3994,0.525,0.4349818181818182,0.04001818181818182
[2♠] [A♠],55371,40841,3788,0.5469818181818182,0.4148727272727273,0.038145454545454545
[3♣] [3♦],52622,45633,1745,0.5219909090909091,0.45843636363636364,0.019572727272727273
[3♣] [3♥],52939,45357,1704,0.5248727272727273,0.45592727272727274,0.0192
[3♣] [3♠],52784,45435,1781,0.5234636363636364,0.4566363636363636,0.0199
[3♣] [4♣],35779,58252,5969,0.3688727272727273,0.5731545454545455,0.05797272727272727
[3♣] [4♦],31894,61905,6201,0.33355454545454544,0.6063636363636363,0.06008181818181818
[3♣] [4♥],32267,61697,6036,0.33694545454545455,0.6044727272727273,0.05858181818181818
[3♣] [4♠],31954,62060,5986,0.3341,0.6077727272727272,0.05812727272727273
[3♣] [5♣],36678,57520,5802,0.3770454545454546,0.5665,0.05645454545454545
[3♣] [5♦],33101,60715,6184,0.34452727272727274,0.5955454545454546,0.059927272727272725
[3♣] [5♥],33183,60416,6401,0.3452727272727273,0.5928272727272728,0.0619
[3♣] [5♠],33226,60666,6108,0.34566363636363634,0.5951,0.059236363636363636
[3♣] [6♣],36845,57383,5772,0.3785636363636364,0.5652545454545455,0.05618181818181818
[3♣] [6♦],33023,60953,6024,0.3438181818181818,0.5977090909090909,0.05847272727272727
[3♣] [6♥],33104,60905,5991,0.34455454545454545,0.5972727272727273,0.05817272727272727
[3♣] [6♠],33130,60883,5987,0.3447909090909091,0.5970727272727273,0.05813636363636364
[3♣] [7♣],37396,57029,5575,0.3835727272727273,0.5620363636363637,0.054390909090909094
[3♣] [7♦],33736,60465,5799,0.3503,0.5932727272727273,0.05642727272727273
[3♣] [7♥],33483,60727,5790,0.348,0.5956545454545454,0.056345454545454546
[3♣] [7♠],34125,60002,5873,0.3538363636363636,0.5890636363636363,0.0571
[3♣] [8♣],38441,56381,5178,0.3930727272727273,0.5561454545454545,0.050781818181818185
[3♣] [8♦],34824,59799,5377,0.3601909090909091,0.5872181818181819,0.05259090909090909
[3♣] [8♥],34821,59825,5354,0.36016363636363635,0.5874545454545455,0.05238181818181818
[3♣] [8♠],34785,59874,5341,0.3598363636363636,0.5879,0.052263636363636366
[3♣] [9♣],40806,54188,5006,0.41457272727272726,0.5362090909090909,0.04921818181818182
[3♣] [9♦],37565,57288,5147,0.3851090909090909,0.564390909090909,0.0505
[3♣] [9♥],37546,57219,5235,0.38493636363636363,0.5637636363636364,0.0513
[3♣] [9♠],37351,57488,5161,0.3831636363636364,0.5662090909090909,0.05062727272727273
[3♣] [T♣],43250,52201,4549,0.4367909090909091,0.5181454545454546,0.04506363636363636
[3♣] [T♦],40176,54994,4830,0.40884545454545457,0.5435363636363636,0.047618181818181816
[3♣] [T♥],40189,54922,4889,0.40896363636363636,0.5428818181818181,0.04815454545454546
[3♣] [T♠],40349,54718,4933,0.4104181818181818,0.5410272727272727,0.048554545454545454
[3♣] [J♣],46106,49406,4488,0.4627545454545455,0.49273636363636364,0.04450909090909091
[3♣] [J♦],43047,52405,4548,0.4349454545454545,0.52,0.04505454545454545
[3♣] [J♥],43224,52186,4590,0.4365545454545455,0.5180090909090909,0.045436363636363636
[3♣] [J♠],43050,52274,4676,0.4349727272727273,0.5188090909090909,0.04621818181818182
[3♣] [Q♣],48822,47070,4108,0.48744545454545457,0.4715,0.041054545454545455
[3♣] [Q♦],46032,49609,4359,0.4620818181818182,0.4945818181818182,0.04333636363636364
[3♣] [Q♥],45801,49864,4335,0.45998181818181816,0.4969,0.04311818181818182
[3♣] [Q♠],46094,49533,4373,0.4626454545454545,0.4938909090909091,0.043463636363636364
[3♣] [K♣],52056,43893,4051,0.5168454545454545,0.4426181818181818,0.040536363636363634
[3♣] [K♦],49520,46342,4138,0.4937909090909091,0.4648818181818182,0.041327272727272726
[3♣] [K♥],49456,46255,4289,0.49320909090909093,0.4640909090909091,0.0427
[3♣] [K♠],49440,46448,4112,0.49306363636363637,0.46584545454545456,0.04109090909090909
[3♣] [A♣],56250,39927,3823,0.5549727272727273,0.40656363636363635,0.038463636363636367
[3♣] [A♦],53865,42120,4015,0.533290909090909,0.4265,0.04020909090909091
[3♣] [A♥],54019,42079,3902,0.5346909090909091,0.42612727272727274,0.03918181818181818
[3♣] [A♠],54047,42042,3911,0.5349454545454545,0.4257909090909091,0.03926363636363636
[3♦] [3♥],52724,45512,1764,0.5229181818181818,0.45733636363636365,0.019745454545454545
[3♦] [3♠],52709,45563,1728,0.5227818181818182,0.4578,0.019418181818181817
[3♦] [4♣],32256,61713,6031,0.33684545454545456,0.6046181818181818,0.058536363636363636
[3♦] [4♦],35699,58466,5835,0.36814545454545455,0.5751,0.05675454545454545
[3♦] [4♥],32007,61818,6175,0.3345818181818182,0.6055727272727273,0.05984545454545455
[3♦] [4♠],31873,62004,6123,0.33336363636363636,0.6072636363636363,0.05937272727272727
[3♦] [5♣],33269,60694,6037,0.34605454545454545,0.5953545454545455,0.05859090909090909
[3♦] [5♦],36608,57582,5810,0.3764090909090909,0.5670636363636363,0.056527272727272725
[3♦] [5♥],33213,60630,6157,0.34554545454545454,0.5947727272727272,0.05968181818181818
[3♦] [5♠],33058,60741,6201,0.34413636363636363,0.5957818181818182,0.06008181818181818
[3♦] [6♣],33021,61058,5921,0.3438,0.5986636363636364,0.057536363636363635
[3♦] [6♦],36802,57574,5624,0.37817272727272727,0.5669909090909091,0.054836363636363634
[3♦] [6♥],32866,61170,5964,0.3423909090909091,0.5996818181818182,0.05792727272727273
[3♦] [6♠],33161,60819,6020,0.34507272727272725,0.5964909090909091,0.058436363636363634
[3♦] [7♣],33825,60455,5720,0.3511090909090909,0.5931818181818181,0.05570909090909091
[3♦] [7♦],37235,57347,5418,0.3821090909090909,0.5649272727272727,0.052963636363636366
[3♦] [7♥],33782,60497,5721,0.3507181818181818,0.5935636363636364,0.05571818181818182
[3♦] [7♠],33515,60686,5799,0.3482909090909091,0.5952818181818181,0.05642727272727273
[3♦] [8♣],34916,59465,5619,0.36102727272727275,0.5841818181818181,0.05479090909090909
[3♦] [8♦],38087,56773,5140,0.38985454545454545,0.5597090909090909,0.05043636363636363
[3♦] [8♥],34817,59812,5371,0.36012727272727274,0.5873363636363637,0.05253636363636364
[3♦] [8♠],34748,59785,5467,0.3595,0.5870909090909091,0.053409090909090906
[3♦] [9♣],37682,57149,5169,0.3861727272727273,0.5631272727272727,0.0507
[3♦] [9♦],40803,54231,4966,0.41454545454545455,0.5366,0.048854545454545456
[3♦] [9♥],37520,57336,5144,0.3847,0.5648272727272727,0.05047272727272727
[3♦] [9♠],37365,57381,5254,0.38329090909090907,0.5652363636363636,0.051472727272727274
[3♦] [T♣],39850,55349,4801,0.4058818181818182,0.5467636363636363,0.047354545454545455
[3♦] [T♦],43062,52269,4669,0.4350818181818182,0.5187636363636363,0.046154545454545455
[3♦] [T♥],40284,54899,4817,0.4098272727272727,0.5426727272727273,0.0475
[3♦] [T♠],40170,54993,4837,0.4087909090909091,0.5435272727272727,0.04768181818181818
[3♦] [J♣],43198,52186,4616,0.4363181818181818,0.5180090909090909,0.045672727272727275
[3♦] [J♦],46221,49448,4331,0.4638,0.49311818181818184,0.04308181818181818
[3♦] [J♥],42910,52453,4637,0.4337,0.5204363636363636,0.04586363636363636
[3♦] [J♠],43044,52288,4668,0.4349181818181818,0.5189363636363636,0.046145454545454545
[3♦] [Q♣],45701,49974,4325,0.4590727272727273,0.4979,0.043027272727272727
[3♦] [Q♦],48940,46995,4065,0.4885181818181818,0.4708181818181818,0.04066363636363637
[3♦] [Q♥],45828,49789,4383,0.4602272727272727,0.49621818181818184,0.04355454545454546
[3♦] [Q♠],46163,49330,4507,0.4632727272727273,0.49204545454545456,0.044681818181818184
[3♦] [K♣],49219,46549,4232,0.49105454545454547,0.4667636363636364,0.04218181818181818
[3♦] [K♦],52091,43916,3993,0.5171636363636364,0.44282727272727274,0.04000909090909091
[3♦] [K♥],49295,46501,4204,0.49174545454545454,0.4663272727272727,0.04192727272727273
[3♦] [K♠],49488,46309,4203,0.4935,0.4645818181818182,0.04191818181818182
[3♦] [A♣],53652,42437,3911,0.5313545454545454,0.4293818181818182,0.03926363636363636
[3♦] [A♦],56149,39851,4000,0.5540545454545455,0.4058727272727273,0.040072727272727274
[3♦] [A♥],53774,42349,3877,0.5324636363636364,0.4285818181818182,0.03895454545454546
[3♦] [A♠],53458,42455,4087,0.5295909090909091,0.42954545454545456,0.040863636363636366
[3♥] [3♠],52730,45540,1730,0.5229727272727273,0.4575909090909091,0.019436363636363637
[3♥] [4♣],32043,61846,6111,0.33490909090909093,0.6058272727272728,0.059263636363636366
[3♥] [4♦],32014,61782,6204,0.3346454545454545,0.6052454545454545,0.06010909090909091
[3♥] [4♥],35774,58249,5977,0.3688272727272727,0.5731272727272727,0.058045454545454546
[3♥] [4♠],32189,61741,6070,0.3362363636363636,0.6048727272727272,0.05889090909090909
[3♥] [5♣],33283,60523,6194,0.3461818181818182,0.5938,0.06001818181818182
[3♥] [5♦],33390,60542,6068,0.34715454545454544,0.5939727272727273,0.05887272727272727
[3♥] [5♥],36760,57393,5847,0.37779090909090907,0.5653454545454546,0.056863636363636366
[3♥] [5♠],33111,60820,6069,0.3446181818181818,0.5965,0.05888181818181818
[3♥] [6♣],33192,60871,5937,0.34535454545454547,0.5969636363636364,0.05768181818181818
[3♥] [6♦],33151,60871,5978,0.34498181818181817,0.5969636363636364,0.058054545454545456
[3♥] [6♥],36865,57405,5730,0.37874545454545455,0.5654545454545454,0.0558
[3♥] [6♠],33033,61057,5910,0.3439090909090909,0.5986545454545454,0.05743636363636364
[3♥] [7♣],33800,60395,5805,0.3508818181818182,0.5926363636363636,0.05648181818181818
[3♥] [7♦],33656,60400,5944,0.34957272727272726,0.5926818181818182,0.057745454545454544
[3♥] [7♥],37429,57103,5468,0.38387272727272725,0.5627090909090909,0.053418181818181816
[3♥] [7♠],33764,60394,5842,0.35055454545454545,0.5926272727272728,0.056818181818181816
[3♥] [8♣],34701,59842,5457,0.35907272727272727,0.5876090909090909,0.05331818181818182
